,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,3.0,154.821498566,5.78258197904,-3.91803649593,-1.40088021699,3.94535072983,2.81537209734,0.403211975578,-0.993076855322,0.191117668535,-12.3570406363,0.197025477106,-5.04034742059,1.05637550684e+25,0.946656314796,-80.043311967
1,3.0,70.8609708631,3.59031157768,-0.640981597477,8.15003288783,0.770168308235,-7.69293277548,1.27213679433,-0.832261715554,0.211283811509,1.67916728378,-0.992891304107,0.838220369251,9920.62739784,0.997701096052,8.34596001641
2,3.0,57.3964705946,2.23298788497,0.0173232871556,4.79145257713,0.0201016697038,0.555192361418,-5.69816054346,0.861783494149,-0.0537463246438,1.403359974,0.094688364136,9.10126077277,1.3817842757,-0.288041889667,53.3464857928
3,2.0,187.208620204,4.99185190393,-0.174600020354,8.28894885704,1.13951582911,3.62626369554,-10.8231214507,-0.153222988127,0.0854062837512,-1.16704289227,0.617928090829,-0.247962490137,387777.355327,0.981043375793,57.1292221467
4,1.0,60.9163766779,4.92873269108,-2.43415772767,-0.227965905408,2.43423743424,6.83792790358,-4.60912382341,-0.999967256044,0.180763628676,-6.2944726391,-0.812003284657,1.23148178701,12202.6962773,0.898769605145,-23.9883049139
5,1.0,77.7570519264,4.30169318265,-3.71680788337,-8.32659238328,4.03847827409,-3.27141869997,-1.69885065004,-0.920348614283,0.149077861104,2.35346928555,-0.697121589064,1.32021246899,10611.3983361,-0.996742781628,11.3515094023
6,3.0,45.3325815122,2.34477069608,-0.434439471702,4.84574995501,0.510123284998,-3.14218055485,-2.55303965192,-0.851636230846,-0.359268559874,3.91577290219,0.965333704184,-0.882219513475,10805747.8,-0.999458049344,36.5635280284
7,3.0,137.936495774,4.42348680738,-3.66629566547,0.258180226629,3.76408068344,-1.06928086441,0.445697773921,-0.974021540398,0.162814754351,-11.7333367905,0.090410344086,-10.7733418144,8.48205632452e+17,0.955284761379,-77.2433812548
8,1.0,76.0242289517,2.07912223319,-0.142958628163,3.45727198766,2.03509949807,0.921155036351,-5.09870765401,-0.0702465055383,-0.0641601304907,-6.1704683464,-0.842074481759,0.0834207745989,12.2116042919,-0.505966361831,-11.4028772802
9,2.0,16.0901852848,3.3282088126,-0.98024611362,1.47190267364,3.54265058643,0.26761824591,1.44691282457,-0.276698502916,-0.455055807999,-3.43949575987,0.863487115968,-0.320443116983,1.86848121289,-0.999822798556,-30.8466234337
