id,duration
0,6.2
1,6.2
2,6.2
3,6.2
4,6.2
5,6.2
6,6.2
7,6.2
8,6.2
9,6.2
10,6.2
11,6.2
12,6.2
13,6.2
14,6.2
15,6.2
16,6.2
17,6.2
18,6.2
19,6.2
20,6.2
21,6.2
22,6.2
23,6.2
24,6.2
25,6.2
26,6.2
27,6.2
28,6.2
29,6.2
30,6.2
31,6.2
32,6.2
33,6.2
34,6.2
35,6.2
36,6.2
37,6.2
38,6.2
39,6.2
40,6.2
41,6.2
42,6.2
43,6.2
44,6.2
45,6.2
46,6.2
47,6.2
48,6.2
49,6.2
50,6.2
51,6.2
52,6.2
53,6.2
54,6.2
55,6.2
56,6.2
57,6.2
58,6.2
59,6.2
60,6.2
61,6.2
62,6.2
63,6.2
64,6.2
65,6.2
66,6.2
67,6.2
68,6.2
69,6.2
70,6.2
71,6.2
72,6.2
73,6.2
74,6.2
75,6.2
76,6.2
77,6.2
78,6.2
79,6.2
80,6.2
81,6.2
82,6.2
83,6.2
84,6.2
85,6.2
86,6.2
87,6.2
88,6.2
89,6.2
90,6.2
91,6.2
92,6.2
93,6.2
94,6.2
95,6.2
96,6.2
97,6.2
98,6.2
99,6.2
100,6.2
101,6.2
102,6.2
103,6.2
104,6.2
105,6.2
106,6.2
107,6.2
108,6.2
109,6.2
110,6.2
111,6.2
112,6.2
113,6.2
114,6.2
115,6.2
116,6.2
117,6.2
118,6.2
119,6.2
120,6.2
121,6.2
122,6.2
123,6.2
124,6.2
125,6.2
126,6.2
127,6.2
128,6.2
129,6.2
130,6.2
131,6.2
132,6.2
133,6.2
134,6.2
135,6.2
136,6.2
137,6.2
138,6.2
139,6.2
140,6.2
141,6.2
142,6.2
143,6.2
144,6.2
145,6.2
146,6.2
147,6.2
148,6.2
149,6.2
150,6.2
151,6.2
152,6.2
153,6.2
154,6.2
155,6.2
156,6.2
157,6.2
158,6.2
159,6.2
160,6.2
161,6.2
162,6.2
163,6.2
164,6.2
165,6.2
166,6.2
167,6.2
168,6.2
169,6.2
170,6.2
171,6.2
172,6.2
173,6.2
174,6.2
175,6.2
176,6.2
177,6.2
178,6.2
179,6.2
180,6.2
181,6.2
182,6.2
183,6.2
184,6.2
185,6.2
186,6.2
187,6.2
188,6.2
189,6.2
190,6.2
191,6.2
192,6.2
193,6.2
194,6.2
195,6.2
196,6.2
197,6.2
198,6.2
199,6.2
200,6.2
201,6.2
202,6.2
203,6.2
204,6.2
205,6.2
206,6.2
207,6.2
208,6.2
209,6.2
210,6.2
211,6.2
212,6.2
213,6.2
214,6.2
215,6.2
216,6.2
217,6.2
218,6.2
219,6.2
220,6.2
221,6.2
222,6.2
223,6.2
224,6.2
225,6.2
226,6.2
227,6.2
228,6.2
229,6.2
230,6.2
231,6.2
232,6.2
233,6.2
234,6.2
235,6.2
236,6.2
237,6.2
238,6.2
239,6.2
240,6.2
241,6.2
242,6.2
243,6.2
244,6.2
245,6.2
246,6.2
247,6.2
248,6.2
249,6.2
250,6.2
251,6.2
252,6.2
253,6.2
254,6.2
255,6.2
256,6.2
257,6.2
258,6.2
259,6.2
260,6.2
261,6.2
262,6.2
263,6.2
264,6.2
265,6.2
266,6.2
267,6.2
268,6.2
269,6.2
270,6.2
271,6.2
272,6.2
273,6.2
274,6.2
275,6.2
276,6.2
277,6.2
278,6.2
279,6.2
280,6.2
281,6.2
282,6.2
283,6.2
284,6.2
285,6.2
286,6.2
287,6.2
288,6.2
289,6.2
290,6.2
291,6.2
292,6.2
293,6.2
294,6.2
295,6.2
296,6.2
297,6.2
298,6.2
299,6.2
300,6.2
301,6.2
302,6.2
303,6.2
304,6.2
305,6.2
306,6.2
307,6.2
308,6.2
309,6.2
310,6.2
311,6.2
312,6.2
313,6.2
314,6.2
315,6.2
316,6.2
317,6.2
318,6.2
319,6.2
320,6.2
321,6.2
322,6.2
323,6.2
324,6.2
325,6.2
326,6.2
327,6.2
328,6.2
329,6.2
330,6.2
331,6.2
332,6.2
333,6.2
334,6.2
335,6.2
336,6.2
337,6.2
338,6.2
339,6.2
340,6.2
341,6.2
342,6.2
343,6.2
344,6.2
345,6.2
346,6.2
347,6.2
348,6.2
349,6.2
350,6.2
351,6.2
352,6.2
353,6.2
354,6.2
355,6.2
356,6.2
357,6.2
358,6.2
359,6.2
360,6.2
361,6.2
362,6.2
363,6.2
364,6.2
365,6.2
366,6.2
367,6.2
368,6.2
369,6.2
370,6.2
371,6.2
372,6.2
373,6.2
374,6.2
375,6.2
376,6.2
377,6.2
378,6.2
379,6.2
380,6.2
381,6.2
382,6.2
383,6.2
384,6.2
385,6.2
386,6.2
387,6.2
388,6.2
389,6.2
390,6.2
391,6.2
392,6.2
393,6.2
394,6.2
395,6.2
396,6.2
397,6.2
398,6.2
399,6.2
400,6.2
401,6.2
402,6.2
403,6.2
404,6.2
405,6.2
406,6.2
407,6.2
408,6.2
409,6.2
410,6.2
411,6.2
412,6.2
413,6.2
414,6.2
415,6.2
416,6.2
417,6.2
418,6.2
419,6.2
420,6.2
421,6.2
422,6.2
423,6.2
424,6.2
425,6.2
426,6.2
427,6.2
428,6.2
429,6.2
430,6.2
431,6.2
432,6.2
433,6.2
434,6.2
435,6.2
436,6.2
437,6.2
438,6.2
439,6.2
440,6.2
441,6.2
442,6.2
443,6.2
444,6.2
445,6.2
446,6.2
447,6.2
448,6.2
449,6.2
450,6.2
451,6.2
452,6.2
453,6.2
454,6.2
455,6.2
456,6.2
457,6.2
458,6.2
459,6.2
460,6.2
461,6.2
462,6.2
463,6.2
464,6.2
465,6.2
466,6.2
467,6.2
468,6.2
469,6.2
470,6.2
471,6.2
472,6.2
473,6.2
474,6.2
475,6.2
476,6.2
477,6.2
478,6.2
479,6.2
480,6.2
481,6.2
482,6.2
483,6.2
484,6.2
485,6.2
486,6.2
487,6.2
488,6.2
489,6.2
490,6.2
491,6.2
492,6.2
493,6.2
494,6.2
495,6.2
496,6.2
497,6.2
498,6.2
499,6.2
